gene,mean_vcm3,mean_rest,log2fc,pval,fdr
SPDYE5,0.187478,0.1780779,0.07421231,0.37170097230087773,0.6987173957376949
NALF2,0.050824977,0.059319012,-0.22295284,0.3717491918099326,0.6986680523959911
TXNRD3,0.077178344,0.08917245,-0.20839953,0.3717844315966119,0.698594339523215
LRRC37A3,0.3669695,0.3709796,-0.015679598,0.37181410881315646,0.6985102060242359
RBCK1,0.0794946,0.08736413,-0.13618231,0.3719606616019717,0.6986456310610007
MORC4,0.071426176,0.0790608,-0.14650774,0.3721684940154645,0.6988960790338445
DNAAF11,0.1276616,0.122819304,0.055786848,0.3722445935193739,0.6988990947365951
SCARB1,0.06259219,0.06761331,-0.11132288,0.3723077077398975,0.6988777338967024
ALKBH1,0.15863563,0.15636827,0.02076912,0.37295222325147215,0.6999475412173057
CEP120,0.102276765,0.1021696,0.001512289,0.37334633050975385,0.7005470545685022
ROGDI,0.16145109,0.1795199,-0.15304565,0.3734765168655517,0.7006512060053202
BRD3,0.059574034,0.06428576,-0.10981393,0.3742116664302737,0.7018900148838121
MINDY3,0.21813026,0.21715723,0.006449938,0.3745003871941205,0.7022911518399437
TRAPPC13,0.24200423,0.24396594,-0.011647224,0.37457491813190213,0.7022905439475432
TMEM68,0.08376971,0.09798696,-0.22615838,0.37459914266113326,0.7021956356536967
CCDC50,0.16680221,0.15579906,0.098451376,0.37475755768398644,0.7023522585279985
LAMP1,0.11862787,0.11823523,0.004782915,0.3747631495589292,0.7022224623850357
FRG1,0.07632197,0.08814983,-0.2078569,0.3748060223136671,0.702162560173088
BACE2,0.16603301,0.16908802,-0.026304245,0.37495889767484125,0.7023087199012499
MRPS16,0.21264772,0.20477518,0.054424286,0.37556518508298686,0.703303905478759
ENSG00000256824,0.13514875,0.13774319,-0.02743268,0.3756715809407678,0.7033627564131477
GAA,0.05220753,0.059907824,-0.19848299,0.3759441885528034,0.7037327168799684
SLC7A2,0.44552192,0.46482486,-0.061190724,0.3760188968778506,0.7037321544998991
ZNF81,0.32260868,0.3151143,0.033910036,0.37611976765327093,0.7037805464944132
LARP6,0.079079054,0.07298829,0.115629196,0.3762131814105122,0.7038149686926072
DIP2B,0.8100626,0.78238314,0.050158024,0.3763757554784125,0.703978735625691
CNTRL,0.09956281,0.11336944,-0.18735123,0.3763832311904809,0.7038523968565062
ITPK1-AS1,0.0478135,0.056949973,-0.25227213,0.3765383728915326,0.7040021949917016
ARFRP1,0.07167615,0.07803675,-0.12265873,0.3766748554267467,0.7041170539178596
ITGB5-AS1,0.05375975,0.046827428,0.19916868,0.3767683542224921,0.7041515337281715
TMEM143,0.11811904,0.14145643,-0.2601142,0.3768076279852124,0.7040846775059276
GIPC1,0.196248,0.19264022,0.026768684,0.37695913615038856,0.7042275219758952
AAGAB,0.13851324,0.12755121,0.118946314,0.37771162132597913,0.7054928192873454
POC1B,0.07313008,0.08215426,-0.16786838,0.37780902527983096,0.7055342904409582
EMD,0.08040262,0.07156048,0.16807723,0.3778427456385479,0.7054568436976829
PIGP,0.04776016,0.054528084,-0.19118834,0.37798888861880153,0.7055892863154787
FHIP2A,0.2570504,0.25817332,-0.0062886477,0.3781987958353278,0.7058406808289328
LRP5,0.25991467,0.28089467,-0.11199069,0.3784068996968296,0.706088610373042
KCNAB2,0.19935441,0.22526488,-0.17628598,0.37852316857349033,0.7061651158394285
LSM12,0.12231296,0.11975419,0.030501127,0.37859068962602305,0.7061506660181607
SLC25A13,0.30837452,0.32204685,-0.062586784,0.378808307895351,0.7064161289354369
OTUB1,0.097889684,0.09717246,0.01060915,0.3789509271173196,0.7065416530633332
PAWR,0.07417429,0.07168573,0.049232483,0.37942218058447086,0.7072797334082069
VPS13B-DT,0.11043905,0.12596653,-0.18978858,0.3794559894993883,0.7072022434412517
PCNT,0.46929708,0.5017693,-0.09652257,0.37952173436001035,0.7071842923069747
CRYM,0.4112332,0.42284366,-0.04016757,0.3795499128732137,0.7070963627038307
NGLY1,0.31181422,0.31449118,-0.012332916,0.3796945828277998,0.7072254469109426
EMC1-AS1,0.17217954,0.1839063,-0.09505677,0.37994266733426874,0.7075470633049046
HSD11B1,0.05158973,0.0631086,-0.29074764,0.3800780281432635,0.7076586743481045
MAN2B1,0.052950453,0.058119368,-0.13437319,0.3803488386661694,0.7080223818186511
ZFP36L1,0.09466407,0.08732064,0.11649299,0.3803676493539808,0.7079169383533124
SCAF4,0.21039471,0.20414592,0.043497324,0.3806367047167708,0.7082771843817421
NDUFS1,0.73406535,0.75510716,-0.040772825,0.38076092353365576,0.7083678335500214
GMPS,0.14897293,0.1577457,-0.08254981,0.38120907084555333,0.709060964050948
VPS36,0.31348643,0.31794378,-0.020368695,0.38142761290197746,0.7093268313669678
TAB3,0.12369953,0.12580013,-0.024293184,0.3815256049855723,0.7093684554052
TAFA2,0.10971083,0.11803244,-0.10547662,0.3815387974072877,0.7092524266445757
PPHLN1,0.39906958,0.39540297,0.013316631,0.381987506286953,0.7099458763835564
